x_times_g,y_times_g,z_times_g,g_measured,TimeInterval,Date
0.768387,0.852707,0.069336,1.149928,90549.496030,2001-01-01 19:09:09.496 -0600
0.554565,1.021332,0.224487,1.183662,90549.466123,2001-01-01 19:09:09.466 -0600
0.389984,1.096252,0.131561,1.170968,90549.436338,2001-01-01 19:09:09.436 -0600
0.568222,1.096878,-0.106415,1.239896,90549.406430,2001-01-01 19:09:09.406 -0600
0.728287,1.141312,-0.231888,1.373596,90549.376645,2001-01-01 19:09:09.377 -0600
0.582809,1.176102,-0.279312,1.341975,90549.346738,2001-01-01 19:09:09.347 -0600
0.423813,1.079041,-0.289017,1.194770,90549.316953,2001-01-01 19:09:09.317 -0600
0.341095,0.916092,-0.262756,1.012231,90549.287046,2001-01-01 19:09:09.287 -0600
0.341278,0.838776,-0.280411,0.947969,90549.257260,2001-01-01 19:09:09.257 -0600
0.366699,0.867294,-0.309494,0.991188,90549.227353,2001-01-01 19:09:09.227 -0600
0.389465,0.853256,-0.267181,0.975251,90549.197568,2001-01-01 19:09:09.198 -0600
0.401413,0.805084,-0.213943,0.924697,90549.167661,2001-01-01 19:09:09.168 -0600
0.378738,0.731750,-0.164963,0.840306,90549.137876,2001-01-01 19:09:09.138 -0600
0.344650,0.742661,-0.171738,0.836554,90549.107969,2001-01-01 19:09:09.108 -0600
0.376877,0.780167,-0.224930,0.895148,90549.078183,2001-01-01 19:09:09.078 -0600
0.413223,0.825729,-0.274414,0.963268,90549.048276,2001-01-01 19:09:09.048 -0600
0.432663,0.850113,-0.291824,0.997522,90549.018491,2001-01-01 19:09:09.018 -0600
0.365601,0.853210,-0.271622,0.967166,90548.988584,2001-01-01 19:09:08.989 -0600
0.329636,0.818298,-0.261459,0.920127,90548.958799,2001-01-01 19:09:08.959 -0600
0.375702,0.824966,-0.256058,0.941959,90548.928891,2001-01-01 19:09:08.929 -0600
0.484467,0.888794,-0.249557,1.042565,90548.899106,2001-01-01 19:09:08.899 -0600
0.579163,0.957001,-0.226135,1.141235,90548.869199,2001-01-01 19:09:08.869 -0600
0.598129,0.908325,-0.192841,1.104536,90548.839427,2001-01-01 19:09:08.839 -0600
0.543518,0.782227,-0.171219,0.967784,90548.809520,2001-01-01 19:09:08.810 -0600
0.386856,0.742233,-0.170502,0.854189,90548.779734,2001-01-01 19:09:08.780 -0600
0.338348,0.771515,-0.253189,0.879670,90548.749827,2001-01-01 19:09:08.750 -0600
0.465363,0.854874,-0.394028,1.050061,90548.720042,2001-01-01 19:09:08.720 -0600
0.534805,1.043472,-0.384842,1.234080,90548.690135,2001-01-01 19:09:08.690 -0600
0.496613,1.039978,-0.246323,1.178496,90548.660350,2001-01-01 19:09:08.660 -0600
0.432663,0.947357,-0.166519,1.054709,90548.630442,2001-01-01 19:09:08.630 -0600
0.416489,0.948364,-0.134232,1.044450,90548.600657,2001-01-01 19:09:08.601 -0600
0.440582,0.894485,-0.152634,1.008719,90548.570720,2001-01-01 19:09:08.571 -0600
0.434448,0.904236,-0.149551,1.014275,90548.540934,2001-01-01 19:09:08.541 -0600
0.388123,0.888351,-0.127106,0.977734,90548.511027,2001-01-01 19:09:08.511 -0600
0.384384,0.842239,-0.144867,0.937072,90548.481242,2001-01-01 19:09:08.481 -0600
0.371796,0.829971,-0.179672,0.927020,90548.451335,2001-01-01 19:09:08.451 -0600
0.348938,0.845566,-0.163116,0.929164,90548.421550,2001-01-01 19:09:08.422 -0600
0.393997,0.878525,-0.180740,0.979646,90548.391642,2001-01-01 19:09:08.392 -0600
0.447098,0.893692,-0.195053,1.018149,90548.361857,2001-01-01 19:09:08.362 -0600
0.408340,0.865952,-0.123398,0.965319,90548.331950,2001-01-01 19:09:08.332 -0600
0.380020,0.850677,-0.046036,0.932838,90548.302165,2001-01-01 19:09:08.302 -0600
0.479385,0.861115,-0.025116,0.985880,90548.272258,2001-01-01 19:09:08.272 -0600
0.607330,0.838882,-0.032608,1.036165,90548.242472,2001-01-01 19:09:08.242 -0600
0.607315,0.824982,-0.029892,1.024851,90548.212565,2001-01-01 19:09:08.213 -0600
0.442551,0.783768,-0.025375,0.900437,90548.182780,2001-01-01 19:09:08.183 -0600
0.281952,0.727402,-0.047882,0.781603,90548.152873,2001-01-01 19:09:08.153 -0600
0.268265,0.742371,-0.120605,0.798515,90548.123088,2001-01-01 19:09:08.123 -0600
0.403748,0.827789,-0.204193,0.943367,90548.093180,2001-01-01 19:09:08.093 -0600
0.655014,1.020721,-0.248840,1.238078,90548.063395,2001-01-01 19:09:08.063 -0600
0.743332,1.192413,-0.299957,1.436790,90548.033488,2001-01-01 19:09:08.033 -0600
0.673645,1.245148,-0.337265,1.455314,90548.003703,2001-01-01 19:09:08.004 -0600
0.563812,1.083374,-0.306931,1.259281,90547.973796,2001-01-01 19:09:07.974 -0600
0.506287,0.921677,-0.285751,1.089710,90547.944011,2001-01-01 19:09:07.944 -0600
0.481689,0.791290,-0.237656,0.956371,90547.914103,2001-01-01 19:09:07.914 -0600
0.480865,0.762329,-0.203400,0.923985,90547.884318,2001-01-01 19:09:07.884 -0600
0.482742,0.752106,-0.195297,0.914792,90547.854411,2001-01-01 19:09:07.854 -0600
0.494080,0.782532,-0.233093,0.954360,90547.824646,2001-01-01 19:09:07.825 -0600
0.506454,0.793259,-0.249817,0.973737,90547.794739,2001-01-01 19:09:07.795 -0600
0.492172,0.774673,-0.262894,0.954707,90547.764953,2001-01-01 19:09:07.765 -0600
0.470413,0.752472,-0.256989,0.923875,90547.735046,2001-01-01 19:09:07.735 -0600
0.443863,0.769974,-0.263199,0.926902,90547.705261,2001-01-01 19:09:07.705 -0600
0.448425,0.782379,-0.281479,0.944687,90547.675354,2001-01-01 19:09:07.675 -0600
0.479996,0.794113,-0.290421,0.972294,90547.645569,2001-01-01 19:09:07.646 -0600
0.470673,0.776566,-0.285370,0.951852,90547.615661,2001-01-01 19:09:07.616 -0600
0.414825,0.771622,-0.263290,0.914769,90547.585876,2001-01-01 19:09:07.586 -0600
0.401825,0.755768,-0.255844,0.893367,90547.555969,2001-01-01 19:09:07.556 -0600
0.484741,0.801010,-0.251801,0.969533,90547.526184,2001-01-01 19:09:07.526 -0600
0.646851,0.823532,-0.208694,1.067789,90547.496277,2001-01-01 19:09:07.496 -0600
0.685257,0.878067,-0.142914,1.122944,90547.466491,2001-01-01 19:09:07.466 -0600
0.652328,0.840759,-0.119034,1.070784,90547.436584,2001-01-01 19:09:07.437 -0600
0.568115,0.750824,-0.164993,0.955884,90547.406799,2001-01-01 19:09:07.407 -0600
0.458557,0.711594,-0.191345,0.867902,90547.376892,2001-01-01 19:09:07.377 -0600
